issuer_name,source_file,source_effective_date,plan_year_demo,plan_group,therapeutic_category,therapeutic_subcategory,drug_name_display,tier,requirements_limits,prior_auth,step_therapy,quantity_limit,age_limit,specialty_flag,non_formulary,medical_benefit,notes
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 Inhibitor-Biguanide Combinations,JANUMET,T2,AI (Max #180 Mail Order); QL (2 EA per 1 Day); AG (Min 18 Years),False,False,QL (2 EA per 1 Day),AG (Min 18 Years),False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 Inhibitor-Biguanide Combinations,JANUMET XR ORAL TABLET EXTENDED RELEASE 24 HOUR 100-1000 MG,T2,QL (1 EA per 1 day); AG (Min 18 Years),False,False,QL (1 EA per 1 day),AG (Min 18 Years),False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 Inhibitor-Biguanide Combinations,"JANUMET XR ORAL TABLET EXTENDED RELEASE 24 HOUR 50-1000 MG, 50-500 MG",T2,QL (2 EA per 1 day); AG (Min 18 Years),False,False,QL (2 EA per 1 day),AG (Min 18 Years),False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 Inhibitor-Biguanide Combinations,JENTADUETO,T2,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dipeptidyl Peptidase-4 Inhibitor-Biguanide Combinations,JENTADUETO XR,T2,QL (1 EA per 1 day); AG (Min 18 Years),False,False,QL (1 EA per 1 day),AG (Min 18 Years),False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,Dopamine Receptor Agonists - Ergot Derivatives,CYCLOSET,T3,,False,False,,,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,APIDRA,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,APIDRA SOLOSTAR SUBCUTANEOUS SOLUTION PEN-INJECTOR,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,BASAGLAR TEMPO PEN,T3,ST (Step Therapy required: 1 month in the last 12 months - Lantus); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,FIASP FLEXTOUCH,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,FIASP INJECTION,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,FIASP PENFILL,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,FIASP PUMPCART,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG INJECTION,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG JUNIOR KWIKPEN,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,"HUMALOG KWIKPEN SUBCUTANEOUS SOLUTION PEN-INJECTOR 100 UNIT/ML, 200 UNIT/ML",T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG MIX 50/50,T1b,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG MIX 50/50 KWIKPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG MIX 75/25,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG MIX 75/25 KWIKPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG SUBCUTANEOUS SOLUTION CARTRIDGE,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMALOG TEMPO PEN,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMULIN 70/30,T1a,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMULIN 70/30 KWIKPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMULIN N,T1a,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMULIN N KWIKPEN SUBCUTANEOUS SUSPENSION PEN-INJECTOR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMULIN R,T1a,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,HUMULIN R U-500 KWIKPEN SUBCUTANEOUS SOLUTION PEN-INJECTOR,T2,ST (Step Therapy required: 3 months in the last 6 months - Humulin R U 100); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,insulin asp prot & asp flexpen,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog Mix 75/25); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,insulin aspart prot & aspart,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog Mix 75/25); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,insulin lispro junior kwikpen,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,insulin lispro prot & lispro,T3,ST (Step Therapy required: 1 fill in the last 12 months - Humalog); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LANTUS,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LANTUS SOLOSTAR SUBCUTANEOUS SOLUTION PEN-INJECTOR,T2,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LEVEMIR,T3,ST (Step Therapy required: 1 month in the last 12 months - Lantus); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LEVEMIR FLEXPEN SUBCUTANEOUS SOLUTION PEN-INJECTOR,T3,ST (Step Therapy required: 1 month in the last 12 months - Lantus); QL (2 ML per 1 day),False,True,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LEVEMIR FLEXTOUCH,T3,QL (2 ML per 1 day),False,False,QL (2 ML per 1 day),,False,False,False,
Blue Cross Blue Shield of Arizona,BCBSAZ_2023_7_Tier_Exchange_Member.pdf,2023-01-01,2026_demo_proxy,full,,,LYUMJEV,T1b,QL (0.5 ML per 1 day),False,False,QL (0.5 ML per 1 day),,False,False,False,
